county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
jones,2025,214.0666666666667,0.764786221668664,0.0064480815457047735,1,-2.9532396715558846,-0.09683822379805504,0.0
keokuk,2025,186.16666666666666,0.80561165997329,0.0067919926065722145,3,-2.896131362749262,-0.08016868740186017,0.0
kossuth,2025,192.73333333333332,0.7526964777232754,0.0067558497439677056,2,-2.895100895563015,0.12285845610795014,0.0
lee,2025,201.73333333333335,0.8038976232733392,0.006338093793073311,3,-3.222986443902993,-0.05588880109572279,0.0
linn,2025,208.20000000000002,0.7581041809327945,0.006312060069378719,1,-2.902489580346156,-0.033072991246471076,1.0
louisa,2025,200.1,0.7920503568929598,0.006538713497146717,2,-3.0206144925958256,0.014845595052976177,0.0
lucas,2025,159.83333333333334,0.7920350525067318,0.0058122770249864645,3,-3.0101390433924067,-0.10354647328977311,0.0
lyon,2025,196.6,0.7673151929017202,0.006559924526390888,2,-3.082610371613079,-0.06921648512290089,0.0
madison,2025,188.16666666666666,0.7665120665632071,0.005899362566656517,3,-2.8736916905718033,0.009983619288050812,1.0
mahaska,2025,208.03333333333333,0.8217049880111725,0.0069526109379764965,3,-2.8935729758526882,-0.09958403451813988,0.0
marion,2025,199.0,0.801394791362545,0.006281858551330617,3,-2.9008862070769688,-0.11161042708400827,0.0
marshall,2025,217.53333333333333,0.7759577214360234,0.006813110048655015,2,-2.8018723777521117,-0.08557717015979698,1.0
mills,2025,202.1,0.771400277374569,0.00662064005335224,4,-2.7538066198524547,-0.12443789128732038,2.0
mitchell,2025,200.83333333333334,0.7274503061052147,0.006215640635440772,0,-2.929076914493441,0.24422594692269195,0.0
monona,2025,175.33333333333334,0.7393786789066235,0.006603438582418123,3,-2.733475444336783,-0.22134199459663242,0.0
monroe,2025,172.73333333333335,0.8209000477604887,0.005994471633996524,3,-3.0241990354642603,-0.14090637234392903,0.0
montgomery,2025,203.26666666666665,0.7456672349221295,0.005859554661570242,3,-2.800225974972033,0.037894027868723396,1.0
muscatine,2025,215.13333333333333,0.7796259821901269,0.006417603519487575,2,-3.0236819810143913,-0.04295108932145849,0.0
osceola,2025,203.06666666666663,0.7556147156529518,0.0067013463111905616,2,-3.086955167451224,0.10885400286312752,1.0
page,2025,196.73333333333335,0.760230817163309,0.005819642549466311,3,-2.7993287846217036,-0.00045670383430225844,2.0
palo alto,2025,196.6,0.7535398398317017,0.006728313803809257,2,-2.9096981473477967,0.05809558803117136,1.0
plymouth,2025,191.03333333333333,0.745353408208236,0.006627059884440174,2,-2.9506929201920045,0.011192191678268675,1.0
pocahontas,2025,206.4333333333333,0.7659915032283139,0.007071607605500509,2,-2.8202829655534245,-0.002536690880048555,0.0
polk,2025,204.33333333333334,0.7885351989893752,0.006560464063390866,3,-2.8422843084448672,-0.05355860533833851,1.0
pottawattamie,2025,203.26666666666665,0.7497317579939297,0.006348808765031077,4,-2.7807479809757076,-0.06855936538952134,1.0
poweshiek,2025,207.0666666666667,0.8005439497423203,0.006809318796581134,3,-2.8417114964195918,-0.09098228368350413,0.0
