county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
plymouth,2025,189.46666666666667,0.9461306509966544,0.003681283985297583,2,-0.5003995645951029,-0.06607041258966923,0
pocahontas,2025,210.0666666666667,0.9335167085890305,0.00368422951516824,2,-0.43978075000515915,0.16758865298133818,0
polk,2025,204.16666666666666,0.901414474601465,0.0037712486092209797,3,-0.474585875256917,0.10435096408675329,0
pottawattamie,2025,195.86666666666667,0.9274980604778192,0.003702339616739308,5,-0.38754361948293337,-0.09458468745339957,0
poweshiek,2025,199.73333333333335,0.9321635669884978,0.003705222637176125,3,-0.48467062191218346,0.04456568115126926,0
ringgold,2025,162.73333333333335,0.878793133193161,0.0033897849820396482,4,-0.47723469510596317,-0.02937223333545822,0
sac,2025,214.16666666666666,0.9354358775029193,0.003871328944764901,2,-0.4292004477751803,0.08352951939344229,0
scott,2025,211.03333333333333,0.9141469221747798,0.003579192106983355,2,-0.46433332831063723,-0.04115610471909015,0
shelby,2025,205.6,0.944799114606569,0.004017607277987054,2,-0.4072963577166284,0.015175600078219,0
sioux,2025,206.33333333333334,0.9270151003844916,0.003546183843843341,2,-0.5228683435824024,-0.10486891241565524,0
story,2025,206.5666666666667,0.9157159354340629,0.003922927429485491,2,-0.47394580618917814,0.11577311915112903,0
tama,2025,183.29999999999998,0.923553682434402,0.0036561928652672194,2,-0.4693009611638992,0.07721437486897664,0
taylor,2025,185.66666666666666,0.8885808977334493,0.0034404533930989046,5,-0.43073086937614136,0.0181590833540892,0
union,2025,171.4333333333333,0.8842352450330664,0.0034164732580771774,4,-0.46301123440426295,0.031002286644528174,0
van buren,2025,155.96666666666667,0.904014205729201,0.003433086729883122,5,-0.551311488462428,-0.07173811787665883,0
wapello,2025,173.13333333333335,0.921830325580492,0.0036267620953278554,5,-0.5237578946232624,-0.01955864984876931,0
warren,2025,163.13333333333333,0.8980735207228621,0.0035181850531986842,3,-0.49710831508388154,0.07168940371868332,0
washington,2025,183.33333333333334,0.9045165849854221,0.0035195136432276683,3,-0.4796369760144188,0.07685971660577447,0
wayne,2025,171.96666666666667,0.9087160243799182,0.003557516595090048,4,-0.5668382900323614,-0.1471250637895505,0
webster,2025,210.16666666666666,0.9288734153388798,0.0038127131209580046,2,-0.4501257174166291,0.2117668899199891,0
winnebago,2025,208.79999999999998,0.9318149496855737,0.0036951991504747153,2,-0.46483114341801723,0.13954326083089622,0
winneshiek,2025,202.33333333333334,0.9090172890275539,0.003496491867964751,0,-0.4478581141916358,0.19644246920405595,0
woodbury,2025,191.73333333333335,0.9463896875109645,0.0038055924222228595,2,-0.4180770281968833,0.011868618436742135,0
worth,2025,204.80000000000004,0.9028426806626537,0.003477836780262433,2,-0.4637668417630927,0.16686349317342686,0
wright,2025,195.96666666666667,0.9076809540100269,0.003507900328472886,2,-0.44347951372422756,0.25631971371602785,0
