year,county,rolling_3yr_mean,ndvi_peak,ndvi_slope,temp_anomaly,net_moisture_stress,heat_days_gt32,wind_severe_days_58_cutoff
2025,clarke,166.96666666666667,0.5994144958326674,0.0024847284886335983,0.0,-0.209202626889388,0,0
2025,clay,190.46666666666667,0.4527534874931868,0.0013153882571136592,0.0,-0.08788975501926087,0,0
2025,clayton,212.23333333333335,0.5163772783607923,0.0016472701287072497,0.0,0.18713883156544045,0,0
2025,clinton,219.70000000000002,0.49940278599003796,0.0016470074165378513,0.0,-0.07343215803577437,0,1
2025,crawford,206.16666666666666,0.4563888118897509,0.002213600295963182,0.0,-0.3132306655021973,0,0
2025,dallas,202.66666666666666,0.5112858228016903,0.0018298748987887665,0.0,-0.04898587674349247,0,0
2025,davis,176.53333333333333,0.6054234329058286,0.0023391997793703943,0.0,-0.04403376940639137,0,0
2025,decatur,175.4,0.6090222991808368,0.00234289900011276,0.0,-0.2820401389205354,0,1
2025,delaware,216.4,0.5191200399222271,0.0016673498168450923,0.0,-0.046381019542936566,0,0
2025,des moines,208.16666666666666,0.5418501961885913,0.0018050287901528524,0.0,-0.058333778962978894,0,2
2025,dickinson,188.5,0.4482803393053379,0.0013967994242549554,0.0,0.06456866394448264,0,0
2025,dubuque,214.96666666666667,0.5404242653272825,0.0019145991044392076,0.0,-0.060510317660095694,0,1
2025,emmet,194.0666666666667,0.45637537026803615,0.0013914247656720527,0.0,0.020451095698137713,0,1
2025,fayette,205.63333333333335,0.47953608683107496,0.0014618899808444023,0.0,0.13328976412577423,0,0
2025,floyd,202.16666666666666,0.4570989754862395,0.0014182949750203718,0.0,0.1805809787019667,0,0
2025,franklin,211.83333333333334,0.4654894414888439,0.0014399472436698517,0.0,0.12414258937649535,0,0
2025,fremont,211.20000000000002,0.5109476315806152,0.0016397756471300763,0.0,-0.2228107185386314,0,0
2025,greene,209.46666666666667,0.48906679364723116,0.0022043689557412335,0.0,-0.15724261620514307,0,0
2025,grundy,209.9333333333333,0.4503443397338952,0.0012520689843936537,0.0,0.14913425662233545,0,1
2025,guthrie,188.29999999999998,0.5098506704771997,0.0024839977042160444,0.0,-0.1145899430627352,0,1
2025,hamilton,212.13333333333335,0.48320568361023997,0.0018176065156867128,0.0,-0.0849053226931721,0,0
2025,hancock,206.5,0.4292909652771171,0.0012996532255130993,0.0,0.0672770103403721,0,0
2025,hardin,207.36666666666665,0.47871993242037614,0.001520700139816617,0.0,0.022194818333575797,0,0
2025,harrison,180.9666666666667,0.47134819900979547,0.0016122110963244422,0.0,-0.3120605354413733,0,0
2025,henry,192.16666666666666,0.5379977641254943,0.001782354954604459,0.0,0.03925139654405875,0,1
2025,howard,204.53333333333333,0.4456226086141608,0.0013132921794287338,0.0,0.21740477174088024,0,0
2025,humboldt,202.33333333333334,0.45587442292569647,0.0012925548498282466,0.0,-0.15484572674885907,0,0
2025,ida,213.5666666666667,0.4460860217801942,0.0017563761472246748,0.0,-0.31954453016082685,0,0
2025,iowa,212.86666666666665,0.5086327007456042,0.0019773789606435817,0.0,0.06699490699026292,0,0
2025,jackson,212.1,0.5583229906857652,0.0020937976970252055,0.0,-0.19477333907834415,0,0
2025,jasper,214.4333333333333,0.5396457254386582,0.0020964794365154866,0.0,-0.08430232011678072,0,0
2025,jefferson,192.26666666666665,0.5531044430140958,0.001977438013758749,0.0,-0.039391011966663905,0,0
2025,johnson,210.46666666666667,0.514128315694887,0.002150578886804792,0.0,0.03008429420197896,0,0
2025,jones,214.0666666666667,0.5039841821783122,0.0016606141164963613,0.0,-0.07052526790121229,0,0
2025,keokuk,186.16666666666666,0.5392599225766379,0.0018815181924006312,0.0,-0.02141984551683969,0,0
2025,kossuth,192.73333333333335,0.4663799291744761,0.0014138484234502795,0.0,-0.012965884185385145,0,0
2025,lee,201.73333333333335,0.5684481102986476,0.0019491326350748641,0.0,-0.1679884273805612,0,0
2025,linn,208.20000000000002,0.5000079402542085,0.0018685107323726262,0.0,0.010231846417290497,0,1
2025,louisa,200.1,0.5325753345002476,0.0017945624729431581,0.0,0.01581380063129148,0,0
2025,lucas,159.83333333333334,0.5919075957850498,0.002329149055616019,0.0,-0.07562001792428938,0,0
2025,lyon,196.6,0.4724345950856801,0.0014594301558848394,0.0,-0.15766273287599683,0,0
2025,madison,188.16666666666666,0.5464883328760438,0.0025011109510562303,0.0,-0.09382909544694722,0,0
2025,mahaska,208.03333333333333,0.5600752955521181,0.002005647577818573,0.0,-0.035873438724137494,0,1
2025,marion,199.0,0.57416533037221,0.0021882512718805424,0.0,-0.08397221979846745,0,1
2025,marshall,217.5333333333333,0.49478944882052067,0.0019392989320331777,0.0,-0.08629231673920934,0,0
2025,mills,202.1,0.49799064592916936,0.001747376646084937,0.0,-0.16922119594907742,0,0
2025,mitchell,200.83333333333334,0.4473245624153931,0.001307764344650005,0.0,0.2314886284096628,0,0
2025,monona,175.33333333333334,0.4500154250114799,0.001464233355898842,0.0,-0.29374187313095146,0,1
2025,monroe,172.73333333333335,0.6244705544760631,0.002510535201155571,0.0,-0.06754926751323607,0,0
2025,montgomery,203.26666666666665,0.4966348119922759,0.001884452441538697,0.0,-0.03973367263129097,0,0
2025,muscatine,215.13333333333333,0.5126296795138036,0.0018900889160426873,0.0,0.01422300443380158,0,1
2025,o brien,204.26666666666665,0.46493115800890583,0.0014422730200034173,0.0,0.09239864582994942,0,0
2025,osceola,203.0666666666667,0.45625868978891226,0.0014201336562552768,0.0,0.11296949888217277,0,0
2025,page,196.73333333333335,0.5187482131807226,0.0019024532368215503,0.0,-0.08782002590840698,0,1
